Transcript_ID,Gene_ID
mRNA533,mRNA533
mRNA534,mRNA534
mRNA535,mRNA535
mRNA536,mRNA536
mRNA537,mRNA537
mRNA538,mRNA538
mRNA539,mRNA539
mRNA540,mRNA540
mRNA541,mRNA541
mRNA542,mRNA542
mRNA543,mRNA543
mRNA544,mRNA544
mRNA545,mRNA545
mRNA546,mRNA546
mRNA547,mRNA547
mRNA548,mRNA548
mRNA549,mRNA549
mRNA550,mRNA550
mRNA551,mRNA551
mRNA552,mRNA552
mRNA553,mRNA553
mRNA554,mRNA554
mRNA555,mRNA555
mRNA556,mRNA556
mRNA557,mRNA557
mRNA558,mRNA558
mRNA559,mRNA559
mRNA560,mRNA560
mRNA561,mRNA561
mRNA562,mRNA562
mRNA563,mRNA563
mRNA564,mRNA564
mRNA565,mRNA565
mRNA566,mRNA566
mRNA567,mRNA567
mRNA568,mRNA568
mRNA569,mRNA569
mRNA570,mRNA570
mRNA571,mRNA571
mRNA572,mRNA572
mRNA573,mRNA573
mRNA574,mRNA574
mRNA575,mRNA575
mRNA576,mRNA576
mRNA577,mRNA577
mRNA578,mRNA578
mRNA579,mRNA579
mRNA580,mRNA580
mRNA581,mRNA581
mRNA582,mRNA582
mRNA583,mRNA583
mRNA584,mRNA584
mRNA585,mRNA585
mRNA586,mRNA586
mRNA587,mRNA587
mRNA588,mRNA588
mRNA589,mRNA589
mRNA590,mRNA590
mRNA591,mRNA591
mRNA592,mRNA592
mRNA593,mRNA593
mRNA594,mRNA594
mRNA595,mRNA595
mRNA596,mRNA596
mRNA597,mRNA597
mRNA598,mRNA598
mRNA599,mRNA599
mRNA600,mRNA600
mRNA601,mRNA601
mRNA602,mRNA602
mRNA603,mRNA603
mRNA604,mRNA604
mRNA605,mRNA605
mRNA606,mRNA606
mRNA607,mRNA607
mRNA608,mRNA608
mRNA609,mRNA609
mRNA610,mRNA610
mRNA611,mRNA611
mRNA612,mRNA612
mRNA613,mRNA613
mRNA614,mRNA614
mRNA615,mRNA615
mRNA616,mRNA616
mRNA617,mRNA617
mRNA618,mRNA618
mRNA619,mRNA619
mRNA620,mRNA620
mRNA621,mRNA621
mRNA622,mRNA622
mRNA623,mRNA623
mRNA624,mRNA624
mRNA625,mRNA625
mRNA626,mRNA626
mRNA627,mRNA627
mRNA628,mRNA628
mRNA629,mRNA629
mRNA630,mRNA630
mRNA631,mRNA631
mRNA632,mRNA632
mRNA633,mRNA633
mRNA634,mRNA634
mRNA635,mRNA635
mRNA636,mRNA636
mRNA637,mRNA637
mRNA638,mRNA638
mRNA639,mRNA639
mRNA640,mRNA640
mRNA641,mRNA641
mRNA642,mRNA642
mRNA643,mRNA643
mRNA644,mRNA644
mRNA645,mRNA645
mRNA646,mRNA646
mRNA647,mRNA647
mRNA648,mRNA648
mRNA649,mRNA649
mRNA650,mRNA650
mRNA651,mRNA651
mRNA652,mRNA652
mRNA653,mRNA653
mRNA654,mRNA654
mRNA655,mRNA655
mRNA656,mRNA656
mRNA657,mRNA657
mRNA658,mRNA658
mRNA659,mRNA659
mRNA660,mRNA660
mRNA661,mRNA661
mRNA662,mRNA662
mRNA663,mRNA663
mRNA664,mRNA664
mRNA665,mRNA665
mRNA666,mRNA666
mRNA667,mRNA667
mRNA668,mRNA668
mRNA669,mRNA669
mRNA670,mRNA670
mRNA671,mRNA671
mRNA672,mRNA672
mRNA673,mRNA673
mRNA674,mRNA674
mRNA675,mRNA675
mRNA676,mRNA676
mRNA677,mRNA677
mRNA678,mRNA678
mRNA679,mRNA679
mRNA680,mRNA680
mRNA681,mRNA681
mRNA682,mRNA682
mRNA683,mRNA683
mRNA684,mRNA684
mRNA685,mRNA685
mRNA686,mRNA686
mRNA687,mRNA687
mRNA688,mRNA688
mRNA689,mRNA689
mRNA690,mRNA690
mRNA691,mRNA691
mRNA692,mRNA692
mRNA693,mRNA693
mRNA694,mRNA694
mRNA695,mRNA695
mRNA696,mRNA696
mRNA697,mRNA697
mRNA698,mRNA698
mRNA699,mRNA699
mRNA700,mRNA700
mRNA701,mRNA701
mRNA702,mRNA702
mRNA703,mRNA703
mRNA704,mRNA704
